ARA homolog	Log FC
AT1G01120	-1.44
AT1G01170	1.28
AT1G01250	-3.71
AT1G01300	-1.61
AT1G01370	-1.71
AT1G01440	1.13
AT1G01490	3.56
AT1G01490	3.51
AT1G01630	-1.03
AT1G01630	-1.21
AT1G01720	3.80
AT1G01720	3.19
AT1G01900	-1.18
AT1G01900	-1.31
AT1G02170	1.60
AT1G02180	-1.32
AT1G02180	-2.29
AT1G02305	1.04
AT1G02370	1.57
AT1G02400	2.59
AT1G02400	1.85
AT1G02520	3.63
AT1G02730	-1.35
AT1G02730	-2.54
AT1G02730	-2.68
AT1G02730	-2.88
AT1G02860	1.25
AT1G02920	1.23
AT1G03020	-1.32
AT1G03080	-1.11
AT1G03110	1.50
AT1G03130	-1.06
AT1G03220	3.77
AT1G03220	2.78
AT1G03220	1.13
AT1G03370	1.26
AT1G03410	-1.10
AT1G03530	1.24
AT1G03670	2.21
AT1G03670	1.68
AT1G03780	-2.83
AT1G03790	-1.29
AT1G03870	1.80
AT1G04020	-1.61
AT1G04110	-1.60
AT1G04170	1.03
AT1G04220	-1.29
AT1G04360	1.16
AT1G04635	1.25
AT1G04650	-1.34
AT1G04945	1.02
AT1G04990	1.33
AT1G05060	2.84
AT1G05160	6.31
AT1G05160	5.16
AT1G05160	5.14
AT1G05160	4.17
AT1G05160	1.73
AT1G05190	-1.01
AT1G05300	1.23
AT1G05370	-1.13
AT1G05440	-1.02
AT1G05590	2.03
AT1G05680	2.18
AT1G05730	1.45
AT1G05730	1.45
AT1G05850	-1.23
AT1G05860	1.09
AT1G06570	1.27
AT1G06650	1.77
AT1G06650	1.32
AT1G06660	-1.15
AT1G06660	-1.89
AT1G06680	-1.46
AT1G06680	-1.53
AT1G06690	-1.04
AT1G06790	1.15
AT1G07030	1.18
AT1G07160	1.75
AT1G07200	-2.06
AT1G07270	-1.25
AT1G07320	-1.10
AT1G07370	-1.87
AT1G07390	1.60
AT1G07530	4.64
AT1G07530	2.09
AT1G07630	1.12
AT1G07650	2.71
AT1G07650	2.07
AT1G07700	-1.03
AT1G07780	1.40
AT1G07870	1.16
AT1G08230	1.59
AT1G08250	1.30
AT1G08280	1.47
AT1G08280	1.46
AT1G08290	1.35
