KEGG	Metabolite	C3L-00365	C3L-00674	C3L-00677	C3L-01043	C3L-01045	C3L-01048	C3L-01049	C3L-01149	C3L-01157	C3L-01839	C3L-01887	C3L-02041	C3L-02465	C3L-02504	C3L-02542	C3L-02642	C3L-02704	C3L-02705	C3L-02707	C3L-02708	C3L-02900	C3L-02970	C3L-02984	C3L-03266	C3L-03407	C3L-03681	C3L-03727	C3L-03728	C3L-03748	C3L-03968	C3L-04084	C3N-00661	C3N-00662	C3N-00663	C3N-00665	C3N-01192	C3N-01196	C3N-01334	C3N-01364	C3N-01368	C3N-01369	C3N-01370	C3N-01505	C3N-01515	C3N-01517	C3N-01518	C3N-01798	C3N-01814	C3N-01815	C3N-01816	C3N-01817	C3N-01818	C3N-01850	C3N-01852	C3N-01856	C3N-02181	C3N-02183	C3N-02185	C3N-02186	C3N-02188	C3N-02190	C3N-02255	C3N-02256	C3N-02769	C3N-02770	C3N-02782	C3N-02783	C3N-02784	C3N-02785	C3N-02786	C3N-02788	C3N-03070	C3N-03088	C3N-03180	C3N-03182	C3N-03183	C3N-03184	C3N-03186	C3N-03187	C3N-03188	PT-NPJ7	PT-P44H	PT-Q2AG	PT-R55F	PT-RN5K	PT-UTHO	PT-WVLH
C05984	2-hydroxybutyric acid	21.35239076	21.50114702	23.07617078	21.57493274	20.77842039	21.32597861	21.20139742	20.90098554	22.5879343	21.66899087	21.35470002	21.98317021	22.11448085	21.22319974	21.25359882	21.30907484	20.91128849	21.78253339	21.14850937	21.25198019	22.60720717	22.94845064	21.9423124	21.7971198	22.5698659	22.14781633	21.33591704	22.10949789	21.8217816	20.63954964	20.26519285	22.23837824	20.71203579	22.07796187	21.49886818	22.40941253	21.78867064	21.92907646	20.96564777	21.86342225	21.78210781	21.48438235	21.61429598	22.37189381	21.2255195	22.35425472	22.18202216	20.24809823	21.20099091	20.99682338	21.58497979	20.35915898	21.48796842	22.38811033	21.76104031	22.05770763	21.85406054	21.9563732	22.16048423	20.64816437	22.00699788	21.20994178	22.57728507	22.58469386	22.11283398	21.64421549	21.67057692	21.20139742	22.52451765	22.56655012	21.62808066	21.7087911	21.41301027	21.67652549	21.984711	21.1966441	21.20139742	21.12122388	22.0124431	21.20903242	20.25004997	21.88374734	20.55113169	22.06262736	21.3403149	21.66594509	20.80351206
C02630	2-hydroxyglutaric acid	22.06691809	20.90503958	21.0504324	20.93217674	20.81172967	21.54063935	20.53629934	20.26460713	22.69589712	21.27991742	20.94288719	26.08035252	21.23172268	20.87112889	22.20050939	20.9637462	20.62542904	20.06716861	20.76933216	26.90654877	26.63648172	22.78605233	26.57581246	21.30061121	21.3494594	22.18637734	20.60342101	20.6524086	21.13117043	21.5716908	21.15232285	20.75069202	21.36481548	25.96537311	21.87477982	21.03973462	21.61064046	21.11674259	20.70957059	21.14317775	22.06235482	21.38364637	21.38315129	21.94567005	20.50072831	20.94555472	21.17009027	21.3010162	22.20659318	21.77192046	21.4439889	22.267542	21.77157027	21.49934046	21.31210507	21.90739085	21.19373232	21.31814892	20.97695824	21.21736036	20.85790012	21.66162997	21.38678449	21.32596596	21.20365543	21.56319877	21.44582215	21.20667607	20.97755013	21.96500482	21.40878753	25.82749145	20.93544674	22.13602516	21.3856526	21.20615075	21.72899592	21.4854118	21.629158	21.42273247	21.08335903	21.38538901	21.22091862	20.11396578	20.55917935	20.95220877	21.01431076
C01089	3-hydroxybutyric acid	22.04248667	21.55804567	23.7697296	21.82791672	23.0789621	21.2911763	21.81969283	21.74925762	21.91391323	21.30868436	22.0857657	21.74757041	21.38950058	21.10309179	23.85008761	20.29593649	21.66785557	21.60564802	21.79410493	22.01713779	23.06407688	22.05818852	19.55569326	21.21028677	22.29084997	20.95399691	23.29550083	23.30170949	22.55407469	22.76804886	21.66518069	21.46415335	20.89481492	21.26858633	23.15337815	21.91589307	20.94160238	22.29248409	21.42974473	22.05970123	22.46483405	23.01925414	21.58339224	21.41035224	21.39772042	22.29978862	22.31580806	21.99751416	21.16252481	21.99682342	21.87418779	20.25360982	20.41533861	21.54972482	21.8601661	21.75423459	20.83639009	21.3176455	21.91155231	20.47700855	21.47972635	23.81109742	21.34317823	23.09458792	22.20254074	23.09430608	21.18620251	22.04335026	21.17337027	21.57001156	21.96619325	21.10899672	22.42695139	23.14597016	22.99015103	21.72157599	20.97068058	23.51165149	21.85102514	20.83401716	23.41071951	20.66575709	20.9775876	21.69644599	21.77285725	23.14731313	21.98492677
C00597	3-phosphoglycerate	21.85556981	21.84116801	21.0535262	22.35806849	21.70391815	22.00789813	20.71094579	18.73361275	21.20139742	20.66081208	21.17848068	21.61967346	21.21059022	20.59613524	20.46807451	19.69064116	20.72905207	21.51375486	21.51561632	22.29745537	21.54291243	20.77718445	21.29962773	21.19250808	20.28679785	20.76947255	20.94989985	20.38732549	21.40440811	21.2464478	21.39723051	21.41325509	20.81661306	21.97240759	21.44810822	21.89662934	20.75948108	21.01715985	21.04275821	20.90652455	21.16917071	21.45600097	22.57246239	21.20733458	21.06112576	20.51615774	21.20139742	20.7908587	19.07703468	20.81016529	19.79692717	19.13159479	20.96238725	21.5474247	20.33679387	20.79294102	20.57650845	20.71070137	21.42921308	20.97160205	21.40451076	21.19285307	21.88273056	20.88348375	21.01604829	21.49869445	21.34238002	20.72234979	21.32173412	21.24105346	20.76897639	21.23062584	20.6842157	21.26850525	20.47535447	21.44949201	21.00184433	20.72253788	20.4285237	21.34121608	21.11251433	20.46307478	19.34127432	20.03399186	20.87831107	21.13166578	20.74978007
"C00147,D00034"	adenine	18.90705294	17.16248778	NA	18.21124499	NA	NA	NA	NA	NA	NA	NA	17.90141505	NA	NA	NA	NA	19.63361948	NA	NA	NA	NA	NA	NA	NA	NA	18.88078001	NA	17.28821602	17.35291265	NA	17.87435289	NA	16.77809017	NA	NA	NA	20.10351321	19.16419785	16.52450902	20.64039965	NA	NA	NA	NA	NA	18.19956014	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.29898097	NA	17.69788804	NA	19.11657804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.71136287	NA	NA	NA	19.92466818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C00872	aminomalonic acid (spectralmatch)	22.51182454	21.97118399	20.80623622	23.17555204	22.22027275	23.11161719	22.61963023	22.77698807	23.60980773	22.22255982	21.21237838	22.05101778	21.95646358	21.98708727	22.41916017	21.37231699	23.49464535	21.36856587	22.3393352	21.19314982	22.41837129	20.70418403	17.81427814	21.52341345	20.32236848	20.43916498	21.60339684	22.03287533	22.87653374	22.10537587	23.32633616	21.78948716	22.48327902	21.12372313	23.12259186	22.00989796	23.4871566	22.44977131	22.14696103	22.66173434	21.13498605	18.06121347	22.37611678	22.40604235	23.27929179	23.18542114	22.29626351	21.95740482	23.32022662	22.04752841	22.48695744	20.96023375	20.79376323	21.95999202	21.19753293	22.25952969	22.40051512	22.60489914	21.78403253	23.46350344	22.76775593	22.67065342	22.3563727	21.1376748	22.07560978	22.17274287	20.12022756	22.38642197	22.90290847	21.97263441	23.01340227	23.10670505	21.33927003	22.66867618	22.1320321	21.65752607	22.46634777	22.36909356	22.61554126	21.31118485	21.76705739	20.91133621	21.5626623	21.49207765	20.07353181	22.26558067	22.20889991
C01789	campesterol	15.39099082	19.80753804	19.62720894	18.49904825	18.68201444	15.36212108	17.64209619	19.46629646	NA	16.71070634	16.72240187	17.70014854	NA	14.53196898	17.61620895	19.79524028	18.32084924	18.72472157	17.60427505	16.14592642	17.76876228	18.82917627	NA	19.10225251	14.96832692	17.29879742	18.19935278	19.72842849	18.54033418	17.89371225	18.60042836	19.71837624	20.18841514	17.95539059	20.17252708	20.49833848	19.45580408	19.31169317	18.91817751	18.73977942	21.80090638	19.52705244	19.22841246	19.77083878	18.39692823	18.55945005	19.06744248	18.28963702	20.41255998	18.22516099	18.86685063	NA	15.82878687	19.86902106	19.24368323	19.16684098	21.20906253	16.88937096	18.88030652	18.79812962	18.5048426	20.51569905	NA	18.68409063	18.74278549	18.14242886	18.77262527	19.76578215	20.8792701	19.28081789	20.06484616	18.96218737	20.98677314	20.8511188	18.7408805	17.99413216	17.82250957	17.99283279	20.70676321	18.56235595	17.0877515	18.25630801	16.19256075	18.55466374	17.88582578	17.44243228	18.47322268
C01571	capricacid	17.10993231	NA	18.11137295	21.99717655	19.44819651	19.75191775	19.4936934	19.56806373	21.53776218	18.28295745	18.05786207	17.91372689	16.36419908	17.96758692	17.50270482	16.52449477	20.2031443	17.57326406	18.39337929	18.20175567	17.82188344	20.95543367	18.12483233	16.92547873	15.60361695	22.19774917	18.11640995	16.93745888	17.99490039	NA	20.10600773	18.36129424	17.75511478	18.71549687	18.03082562	19.54820415	18.21275978	18.44885847	20.93814072	18.12862406	13.4130288	19.97727334	18.90969393	19.23669063	17.70724511	16.37891893	17.57747827	17.96368018	18.57863659	16.90304316	17.70850301	17.24146834	16.31076316	18.57134356	18.67923653	19.85350656	17.35144372	18.85992032	20.63631263	21.81440761	20.82681679	17.676359	18.69063396	20.43637138	19.0484954	21.26419148	21.21659234	18.64153359	16.85332463	21.29589351	17.26342769	17.03995487	17.94974778	22.36706197	21.472027	20.97835486	19.68198509	19.77336848	22.29762185	20.81654039	22.80709228	17.50234292	21.21110122	18.56822938	18.24094562	17.91342972	19.27116685
C00187	cholesterol (spectral match)	25.02230361	26.16330612	25.40809623	25.45661301	26.28360717	25.6287302	25.55362502	25.26525607	26.22944505	26.81178902	26.14498797	24.67073513	24.98594389	24.88515384	25.57161485	25.1085346	24.93781223	25.74401561	25.57345521	25.44593346	24.99592467	26.53674639	26.50462827	25.77082516	25.18214001	23.33621001	25.37597505	25.46019918	25.01340393	26.09542867	25.15820173	25.72506186	25.38871437	25.6369179	25.39921714	26.00994577	25.03694466	24.89720988	25.36293919	24.91014918	27.32923382	26.22898067	26.06443724	25.85423055	25.07472433	25.39813702	25.28564898	25.16342303	26.86350581	25.10334871	25.95324276	26.12919083	25.98477434	25.76243462	26.0175708	25.96242888	25.97084057	25.60736978	25.85252953	24.99260264	25.77745695	25.61588374	25.77496911	25.65202589	25.66082658	25.4406914	25.24994364	24.95561257	25.55404079	25.75660042	25.85772236	25.23195756	24.44645908	27.3973311	25.67567983	24.85387276	25.06177998	26.54617409	26.01073161	26.1856393	26.23379597	26.01629402	26.14403908	26.2829092	25.89319046	26.27721316	26.59377271
C00158	citricacid	21.56318352	21.05317206	20.07424468	21.16498665	19.19049934	19.65232134	21.52042159	20.63628832	21.25964204	20.73507028	21.05047924	21.90202828	21.17356587	21.47120369	22.18669738	21.20139742	21.44388899	21.33493662	21.81915392	21.08229904	21.36315462	21.87394856	21.97089068	20.66769602	22.41817275	21.05873803	21.28512189	21.75111169	21.82431851	21.95162297	21.73261889	21.33825951	21.97683164	22.16894598	21.4766897	22.2658212	21.70774391	20.94284188	21.17357547	20.81906113	21.69537031	21.05073356	21.32561646	21.9897847	21.65093925	21.56757663	21.14018625	21.36023202	22.26666667	21.40377226	21.28692764	20.78907638	20.51303001	21.47940681	21.91455011	22.03364657	21.87819222	21.31291683	21.74520156	21.723717	21.77780562	21.37915563	21.7206378	21.5100842	21.04177234	21.64061695	21.55391238	21.34542889	21.44830981	21.68535188	21.20139742	21.60491823	21.32739087	22.01680648	20.10311404	21.53051988	21.18930681	21.11224197	21.16940067	21.19376243	20.46516463	18.5359933	19.91728695	19.17384679	18.06445226	19.50864841	19.29348209
