Entry,Name,Description,Object,Legend
hsa00010,Glycolysis / Gluconeogenesis,Glycolysis is the process of converting glucose into pyruvate and generating small amounts of ATP (e...,C00033 (Acetate) C00031 (D-Glucose) C00103 (D-Glucose 1-phosphate) C00631 (2-Phospho-D-glycerate) C0...,4.1.2.13 1.2.1.3 6.2.1.13 1.2.1.5 Acetate Pentose phosphate pathway Starch and sucrose metabolism 4....
hsa00020,Citrate cycle (TCA cycle),"The citrate cycle (TCA cycle, Krebs cycle) is an important aerobic pathway for the final steps of th...",C00022 (Pyruvate) C00122 (Fumarate) C00036 (Oxaloacetate) C05379 (Oxalosuccinate) C00024 (Acetyl-CoA...,1.8.1.4 1.2.4.2 1.2.4.2 2.3.1.61 6.2.1.5 6.2.1.4 1.1.1.42 1.1.1.41 1.1.1.42 2.3.3.8 4.2.1.2 4.2.1.3 ...
hsa00030,Pentose phosphate pathway,The pentose phosphate pathway is a process of glucose turnover that produces NADPH as reducing equiv...,"C01151 (D-Ribose 1,5-bisphosphate) C00668 (alpha-D-Glucose 6-phosphate) C00118 (D-Glyceraldehyde 3-p...",2.7.4.23 5.3.1.9 4.1.2.14 Glycolysis 2.7.1.15 5.4.2.7 4.1.2.4 2.7.6.1 5.4.2.7 2.7.1.15 2.2.1.1 5.3.1...
hsa00040,Pentose and glucuronate interconversions,,C14899 (3-Dehydro-L-gulonate 6-phosphate) C03033 (beta-D-Glucuronoside) C00817 (D-Altronate) C00103 ...,3.2.1.15 3-Dehydro-L-gulonate-6P 4.1.1.85 2.7.1.53 β-D-Glucuronoside 3.2.1.31 5.3.1.4 1.1.1.13 2.7.1...
hsa00051,Fructose and mannose metabolism,,C00247 (L-Sorbose) C00267 (alpha-D-Glucose) C01094 (D-Fructose 1-phosphate) C00159 (D-Mannose) C0027...,2.7.1.202 Galactose metabolism 1.1.99.21 1.1.1.21 1.1.1.14 5.3.1.5 2.7.1.3 5.3.1.7 1.1.1.11 1.1.1.67...
hsa00052,Galactose metabolism,,C06311 (Galactitol 1-phosphate) C01216 (2-Dehydro-3-deoxy-D-galactonate) C00137 (myo-Inositol) C0009...,1.1.1.251 2.7.1.200 3.2.1.22 2.7.1.144 2.7.1.11 4.1.2.40 4.1.2.21 3.2.1.85 3.2.1.22 3.2.1.26 2.4.1.6...
hsa00053,Ascorbate and aldarate metabolism,,C00137 (myo-Inositol) C05385 (D-Glucuronate 1-phosphate) C00167 (UDP-glucuronate) C00029 (UDP-glucos...,spontaneous 4.2.1.176 3.1.1.- 1.1.1.365 1.1.1.122 3.1.3.93 2.7.7.69 5.1.3.18 5.1.3.18 5.1.3.18 1.13....
hsa00061,Fatty acid biosynthesis,,C04088 (Octadecanoyl-[acyl-carrier protein]) C16221 ((2E)-Octadecenoyl-[acp]) C16220 ((3R)-3-Hydroxy...,FabK FabK FabK FabK FabK FabK FabL Octadecanoyl-[acp] trans-Octadec-2-enoyl-[acp] (R)-3-Hydroxy-octa...
hsa00062,Fatty acid elongation,,C00024 (Acetyl-CoA) C00136 (Butanoyl-CoA) C05270 (Hexanoyl-CoA) C05271 (trans-Hex-2-enoyl-CoA) C0526...,4.2.1.74 4.2.1.74 Fatty acid degradation FATTY ACID ELONGATION 3.1.2.22 1.3.1.38 4.2.1.17 1.1.1.21...
hsa00071,Fatty acid degradation,,"C02990 (L-Palmitoylcarnitine) C00638 (Long-chain fatty acid) C05280 (cis,cis-3,6-Dodecadienoyl-CoA) ...",1.3.99.- 1.3.99.- 1.3.99.- 1.3.99.- 1.3.99.- 1.3.99.- 1.3.8.1 1.1.1.35 4.2.1.17 1.3.8.7 6.2.1.20 5.3...
hsa00100,Steroid biosynthesis,,C01673 (Calcitriol) C01561 (Calcidiol) C01902 (Cycloartenol) C05442 (Stigmasterol) C15776 (4alpha-Me...,STE1 5.3.3.5 1.3.1.21 1.14.19.20 5.3.3.5 ERG4 ERG5 ERG3 ERG2 Brassinosteroid biosynthesis Calcitriol...
hsa00120,Primary bile acid biosynthesis,Bile acids are steroid carboxylic acids derived from cholesterol in vertebrates. The primary bile ac...,"C00187 (Cholesterol) C03594 (7alpha-Hydroxycholesterol) C15610 (Cholest-5-ene-3beta,26-diol) C15519 ...",1.14.14.25 1.14.14.29 1.14.14.23 1.14.14.29 1.3.1.3 1.1.1.50 1.14.15.15 5.1.99.4 1.17.99.3 1.1.1.50 ...
hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,"Ubiquinone (UQ), also called coenzyme Q, and plastoquinone (PQ) are electron carriers in oxidative p...","C16519 (2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate) C03657 (1,4-Dihydroxy-2-naph...",UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS Phenylpropanoid biosynthesis 2-Succinyl-5-en...
hsa00140,Steroid hormone biosynthesis,Steroid hormones derived from cholesterol are a class of biologically active compounds in vertebrate...,"C05138 (17alpha-Hydroxypregnenolone) C05485 (21-Hydroxypregnenolone) C05489 (11beta,17alpha,21-Trihy...","1.1.1.62 STEROID HORMONE BIOSYNTHESIS 17α-Hydroxy-pregnenolone 21-Hydroxy-pregnenolone 11β,17α,21-T..."
hsa00190,Oxidative phosphorylation,,C00061 (FMN) C00390 (Ubiquinol) C00399 (Ubiquinone) C00524 (Cytochrome c) C00080 (H+) C00080 (H+) C0...,"F-type ATPase (Eukaryotes) V/A-type ATPase (Bacteria, Archaea) V-type ATPase (Eukaryotes) F-type ATP..."
hsa00220,Arginine biosynthesis,,C03406 (N-(L-Arginino)succinate) C00327 (L-Citrulline) C00062 (L-Arginine) C00077 (L-Ornithine) C001...,L-Arginosuccinate Citruline Arginine Ornithine Carbamoyl-P Aspartate Fumarate NH3 N-Acetyl-glutamate...
hsa00230,Purine metabolism,,C00117 (D-Ribose 5-phosphate) C00119 (5-Phospho-alpha-D-ribose 1-diphosphate) C03090 (5-Phosphoribos...,"1.17.4.1 PURINE METABOLISM Alanine, aspartate and glutamate metabolism Pentose phosphate pathway Th..."
hsa00232,Caffeine metabolism,,"C00385 (Xanthine) C13747 (1,7-Dimethylxanthine) C16362 (3,6,8-Trimethylallantoin) C16363 (N-Methylur...","Xanthine Paraxanthine 3,6,8-Trimethyl-allantoin N-Methylurea Glyoxylate N,N'-Dimethylurea 1-Methylur..."
hsa00240,Pyrimidine metabolism,,C00064 (L-Glutamine) C00438 (N-Carbamoyl-L-aspartate) C00169 (Carbamoyl phosphate) C00337 ((S)-Dihyd...,1.17.4.1 2.7.4.22 3.5.4.30 2.1.1.148 L-Glutamine 6.3.5.5 PYRIMIDINE METABOLISM Pentose phosphate pa...
hsa00250,"Alanine, aspartate and glutamate metabolism",,C00122 (Fumarate) C00042 (Succinate) C00036 (Oxaloacetate) C00026 (2-Oxoglutarate) C00041 (L-Alanine...,Fumarate Succinate Oxaloacetate 2-Oxo-glutarate Citrate cycle L-Alanine L-Aspartate L-Asparagine D-A...
hsa00260,"Glycine, serine and threonine metabolism","Serine is derived from 3-phospho-D-glycerate, an intermediate of glycolysis [MD:M00020], and glycine...","C16432 (5-Hydroxyectoine) C06231 (Ectoine) C06442 (N(gamma)-Acetyldiaminobutyrate) C03283 (L-2,4-Dia...","1.1.3.17 5.1.1.18 5-Hydroxy-ectoine 1.14.11.55 1.14.15.7 L-Ectoine Nγ-Acetyl-L-2,4-diaminobutyrate L..."
hsa00270,Cysteine and methionine metabolism,Cysteine and methionine are sulfur-containing amino acids. Cysteine is synthesized from serine throu...,C06547 (Ethylene) C01234 (1-Aminocyclopropane-1-carboxylate) C08276 (3-(Methylthio)propanoate) C1560...,Glycolysis 2.5.1.- Ethylene 1-Aminocyclopropane-1-carboxylate 1.14.17.4 4.4.1.14 2.6.1.117 3-Methyl...
hsa00280,"Valine, leucine and isoleucine degradation",,C15978 (2-Methyl-1-hydroxybutyl-ThPP) C15973 (Enzyme N6-(dihydrolipoyl)lysine) C15973 (Enzyme N6-(di...,2-Methyl-1-hydroxybutyl-ThPP 1.2.4.4 1.8.1.4 Dihydro-lipoamide-E Dihydro-lipoamide-E Lipoamide-E Lip...
hsa00290,"Valine, leucine and isoleucine biosynthesis",,C00188 (L-Threonine) C06032 (D-erythro-3-Methylmalate) C02226 (2-Methylmaleate) C02612 ((R)-2-Methyl...,2.3.3.21 4.2.1.35 1.1.1.85 4.3.1.19 Threonine D-erythro-3-Methylmalate 2-Methyl-maleate (R)-2-Methyl...
hsa00310,Lysine degradation,,"C05825 (2-Amino-5-oxohexanoate) C05161 ((2R,5S)-2,5-Diaminohexanoate) C00877 (Crotonoyl-CoA) C01144 ...","2.6.1.21 2-Amino-5-oxohexanoate 2,5-Diaminohexanoate 1.4.1.12 5.4.3.3 1.5.1.1 1.5.1.8 1.5.1.10 Penic..."
hsa00330,Arginine and proline metabolism,,C04137 (Octopine) C00062 (L-Arginine) C00077 (L-Ornithine) C00134 (Putrescine) C00555 (4-Aminobutyra...,1.5.1.11 Octopine OoxAB ARGININE AND PROLINE METABOLISM Polyamine Pathway ADC pathway ADH pathway...
hsa00340,Histidine metabolism,,C00119 (5-Phospho-alpha-D-ribose 1-diphosphate) C02739 (1-(5-Phospho-D-ribosyl)-ATP) C02741 (Phospho...,1.14.13.- 3.5.3.13 3.5.1.68 3.5.3.8 2.1.2.5 3.5.2.7 4.2.1.49 4.3.1.3 3.4.13.5 2.1.1.22 3.4.13.18 6.3...
hsa00350,Tyrosine metabolism,,"C00146 (Phenol) C02515 (3-Iodo-L-tyrosine) C01060 (3,5-Diiodo-L-tyrosine) C02465 (Triiodothyronine) ...",TYROSINE METABOLISM 1.14.18.1 4.1.99.2 1.10.3.1 Phenol 1.11.1.8 1.11.1.8 1.11.1.8 1.11.1.8 3-Iodo-L...
hsa00360,Phenylalanine metabolism,,C12621 (trans-3-Hydroxycinnamate) C00084 (Acetaldehyde) C00022 (Pyruvate) C03589 (4-Hydroxy-2-oxopen...,"4.1.3.39 4.3.1.25 Tropane, piperidine and pyridine alkaloid biosynthesis 1.2.1.5 6.2.1.30 2.3.1.14 4..."
hsa00380,Tryptophan metabolism,,"C05663 (6-Hydroxykynurenate) C05639 (4,6-Dihydroxyquinoline) C05652 (4-(2-Amino-5-hydroxyphenyl)-2,4...",1.11.1.6 1.1.1.35 1.13.11.52 4.1.1.74 Nicotinamide metabolism 2.6.1.27 1.4.3.2 1.13.11.52 1.14.14.1 ...
hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",,C00279 (D-Erythrose 4-phosphate) C00074 (Phosphoenolpyruvate) C04691 (2-Dehydro-3-deoxy-D-arabino-he...,Shikimate pathway 2.5.1.54 Phenylpropanoid biosynthesis Phenylpropanoid biosynthesis Biosynthesis of...
hsa00410,beta-Alanine metabolism,,"C00429 (5,6-Dihydrouracil) C02642 (3-Ureidopropionate) C00099 (beta-Alanine) C00083 (Malonyl-CoA) C0...",β-ALANINE METABOLISM Propanoate metabolism Fatty acid biosynthesis Pantothenate and CoA biosynthesi...
hsa00430,Taurine and hypotaurine metabolism,,C00094 (Sulfite) C06735 (Aminoacetaldehyde) C00041 (L-Alanine) C00022 (Pyruvate) C00227 (Acetyl phos...,1.14.11.17 Sulfur metabolism 1.1.2.- 1.4.1.1 Sulfite Aminoacetaldehyde L-Alanine Pyruvate 2.3.1.8 Ac...
hsa00440,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of ph...",C00074 (Phosphoenolpyruvate) C02798 (3-Phosphonopyruvate) C05672 (2-Amino-3-phosphonopropanoate) C17...,PHOSPHONATE AND PHOSPHINATE METABOLISM Glycolysis Phosphoenol-pyruvate 3-Phosphono-pyruvate Phosp...
hsa00450,Selenocompound metabolism,,C01528 (Hydrogen selenide) C05697 (Selenate) C05684 (Selenite) C05172 (Selenophosphoric acid) C06481...,SELENOCOMPOUND METABOLISM 1.8.1.9 2.7.9.3 2.1.1.12 4.4.1.11 6.1.1.10 Hydrogen selenide Selenate Sel...
